DATE,GDPA,expenditures of transportation
1/1/59,521.654,4.539
1/1/60,542.382,4.753
1/1/61,562.21,5.011
1/1/62,603.921,5.299
1/1/63,637.451,5.629
1/1/64,684.46,5.934
1/1/65,742.289,6.346
1/1/66,813.414,6.872
1/1/67,859.958,7.422
1/1/68,940.651,8.078
1/1/69,1017.615,8.949
1/1/70,1073.303,9.884
1/1/71,1164.85,10.798
1/1/72,1279.11,11.502
1/1/73,1425.376,12.717
1/1/74,1545.243,15.329
1/1/75,1684.904,17.166
1/1/76,1873.412,17.656
1/1/77,2081.826,18.483
1/1/78,2351.599,20.138
1/1/79,2627.334,22.004
1/1/80,2857.307,24.935
1/1/81,3207.042,28.105
1/1/82,3343.789,30.843
1/1/83,3634.038,31.965
1/1/84,4037.613,33.12
1/1/85,4338.979,35.368
1/1/86,4579.631,37.633
1/1/87,4855.215,39.094
1/1/88,5236.438,40.578
1/1/89,5641.58,42.322
1/1/90,5963.144,45.053
1/1/91,6158.129,47.583
1/1/92,6520.327,49.659
1/1/93,6858.559,51.603
1/1/94,7287.236,53.986
1/1/95,7639.749,56.957
1/1/96,8073.122,59.41
1/1/97,8577.552,62.205
1/1/98,9062.817,65.109
1/1/99,9630.663,70.041
1/1/00,10252.347,74.524
1/1/01,10581.822,78.675
1/1/02,10936.418,82.206
1/1/03,11458.246,84.515
1/1/04,12213.73,88.497
1/1/05,13036.637,95.678
1/1/06,13814.609,103.05
1/1/07,14451.86,112.799
1/1/08,14712.845,120.654
1/1/09,14448.932,122.062
1/1/10,14992.052,122.533
1/1/11,15542.582,126.554
1/1/12,16197.007,130.447
1/1/13,16784.851,136.37
1/1/14,17527.258,139.939
1/1/15,18238.301,140.779
1/1/16,18745.075,141.791
1/1/17,19542.98,146.759
1/1/18,20611.861,154.6
1/1/19,21433.226,158.231
