DATE,GDP per capita,Income receipt,gross income,Profit before tax,gdp change
1/1/47,14203,1.444,2007.377,30.665,-1
4/1/47,14101,1.560,2004.896,28.839,-0.8
7/1/47,14008,1.592,2007.186,28.431,6.4
10/1/47,14161,1.792,2026.439,30.901,6.2
1/1/48,14316,1.924,2080.756,32.117,6.8
4/1/48,14495,2.024,2128.912,33.664,2.3
7/1/48,14515,2.132,2130.642,32.829,0.4
10/1/48,14464,2.044,2141.508,31.362,-5.4
1/1/49,14202,2.052,2099.034,28.045,-1.4
4/1/49,14098,1.976,2093.057,24.231,4.2
7/1/49,14182,1.940,2104.313,25.306,-3.3
10/1/49,13999,1.808,2075.884,24.88,16.7
1/1/50,14490,1.936,2159.027,29.063,12.8
4/1/50,14879,2.048,2248.02,35.562,16.4
7/1/50,15388,2.368,2333.729,43.787,7.9
10/1/50,15612,2.392,2378.456,48.395,5.5
1/1/51,15759,2.400,2390.746,47.479,7.1
4/1/51,15968,2.760,2432.951,39.347,8.5
7/1/51,16223,2.860,2475.603,35.112,0.9
10/1/51,16181,3.004,2497.42,37.697,4.3
1/1/52,16288,2.814,2513.95,35.655,0.9
4/1/52,16259,2.892,2528.914,33.48,2.9
7/1/52,16306,2.865,2552.519,33.435,13.8
10/1/52,16765,2.857,2630.947,37.341,7.6
1/1/53,17013,2.825,2677.64,39.342,3.1
4/1/53,17082,2.967,2696.271,39.383,-2.2
7/1/53,16908,2.756,2678.738,38.385,-5.9
10/1/53,16574,2.824,2624.925,28.908,-1.9
1/1/54,16425,2.955,2630.574,31.143,0.4
4/1/54,16376,2.946,2635.311,32.177,4.6
7/1/54,16485,2.972,2658.958,34.465,8.1
10/1/54,16726,3.282,2715.332,37.083,11.9
1/1/55,17132,3.398,2789.855,42.191,6.7
4/1/55,17341,3.463,2846.818,42.857,5.5
7/1/55,17496,3.541,2884.163,43.988,2.4
10/1/55,17516,3.626,2906.169,45.976,-1.5
1/1/56,17376,3.969,2908.868,44.166,3.3
4/1/56,17449,3.935,2938.605,45.167,-0.4
7/1/56,17352,4.093,2941.769,42.231,6.7
10/1/56,17550,3.735,2993.144,44.936,2.6
1/1/57,17583,4.280,3000.485,45.543,-0.9
4/1/57,17473,4.561,2997.924,43.089,4
7/1/57,17566,4.461,3010.8,41.86,-4.1
10/1/57,17305,3.770,2976.415,37.912,-10
1/1/58,16793,3.886,2910.049,31.655,2.7
4/1/58,16839,3.866,2918.755,32.346,9.6
7/1/58,17154,3.839,2986.766,37.107,9.7
10/1/58,17475,3.885,3056.274,43.113,7.9
1/1/59,17734,3.962,3120.823,46.009,9.3
4/1/59,18064,4.057,3205.989,50.558,0.3
7/1/59,18000,4.379,3179.679,43.832,1.1
10/1/59,17972,4.678,3201.394,42.116,9.3
1/1/60,18268,4.769,3272.588,47.265,-2.1
4/1/60,18060,4.792,3272.026,42.763,2
7/1/60,18059,4.934,3272.142,40.713,-5
